,Title,Author,Score,Ratings,Published
219,"Honey, Baby, Mine: A Mother and Daughter Talk Life, Death, Love",Laura Dern,3.98,1672,2023
220,"The Garden (Into Shadow, #1)",Tomi Adeyemi,2.87,2880,2022
221,"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,3.7,110891,1993
222,A Tangled Web,Leslie Rule,4.01,1932,2020
223,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,4.48,45908,2022
224,Now Is Not the Time to Panic,Kevin    Wilson,3.71,39714,2022
225,Lo que hay,Sara Torres,4.14,2379,2022
226,Ik ga leven,Lale Gül,3.42,7254,2021
227,"Death Note, Vol. 3: Hard Run (Death Note, #3)",Tsugumi Ohba,4.45,35757,2004
228,"The Housemaid (The Housemaid, #1)",Freida McFadden,4.35,461989,2022
229,The Origin of Species,Charles Darwin,4.0,111670,1859
230,The Bletchley Women,Patricia  Adrian,4.11,1799,2022
231,"Broken Hearts (Campus Nights, #3)",Rebecca Jenshak,3.95,3259,2021
232,Can&#39;t Let Her Go,Kianna Alexander,3.61,164,2023
233,"The Sweet Remnants of Summer (Isabel Dalhousie, #14)",Alexander McCall Smith,4.05,2109,2022
234,The Anomaly,Hervé Le Tellier,3.83,44568,2020
235,This Is Where It Ends,Cindy K. Sproles,4.42,183,2023
236,"To Kill a Troubadour (Bruno, Chief of Police, #15)",Martin  Walker,4.21,3428,2022
237,Stars of Alabama,Sean Dietrich,4.06,2798,2019
238,Speak,Laurie Halse Anderson,4.04,572273,1999
239,Winter&#39;s Curse (Winter Black #2),Mary Stone,4.48,10101,2019
240,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.96,266283,2002
241,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,4.14,43135,2021
242,Wanderlust,Elle Everhart,3.52,799,2023
243,Horse,Geraldine Brooks,4.33,84171,2022
244,The Curious Kidnapping of Nora W,Cate Green,4.16,63,2023
245,Plunder: Private Equity&#39;s Plan to Pillage America,Brendan Ballou,4.16,139,2023
246,"Fool Me Once: Scams, Stories, and Secrets from the Trillion-Dollar Fraud Industry",Kelly Richmond Pope,3.65,175,2023
247,"Dawnlands (The Fairmile, #3)",Philippa Gregory,4.07,4422,2022
248,"Theoderic the Great: King of Goths, Ruler of Romans",Hans-Ulrich Wiemer,4.5,2,2023
249,The House in the Pines,Ana  Reyes,3.15,77413,2023
250,Just my Puck: A Why Choose Hockey Romance Duet (Coe Bay Titans Book 1),Eve Newton,3.87,189,2023
251,Before the Ever After,Jacqueline Woodson,4.2,12695,2020
252,"The Judas Blossom (The Nightingale and the Falcon, #1)",Stephen Aryan,4.28,149,2023
253,"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.15,275445,2011
254,Dark Star Safari: Overland from Cairo to Cape Town,Paul Theroux,3.98,14551,2002
255,Critical Threat (Extreme Measures #3),Lynette Eason,4.49,1748,2023
256,"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,4.04,132090,2017
257,The Summer of Songbirds,Kristy Woodson  Harvey,4.23,3066,2023
258,The Sandman Vol. 5: A Game of You,Neil Gaiman,4.41,63999,1992
259,"Windswept Way (Hope Harbor, #9)",Irene Hannon,4.44,814,2023
260,Built to Move: The Ten Essential Habits to Help You Move Freely and Live Fully,Kelly Starrett,4.3,1270,2023
261,"Cypher: Lord of the Fallen (Warhammer 40,000)",John French,4.28,94,2023
262,The Guest List,Lucy Foley,3.83,853098,2020
263,Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher,Richard P. Feynman,4.21,26583,1994
264,"Cursed Crowns (Twin Crowns, #2)",Catherine Doyle,4.12,2467,2023
265,"Working Class (SC Marva Collins, #2)",Nathan Lowell,4.58,921,2023
266,Killingly,Katharine Beutner,3.54,393,2023
267,The Secret Book of Flora Lea,Patti Callahan Henry,4.15,15645,2023
268,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,3.91,162617,2011
269,"Garden of the Cursed (Garden of the Cursed, #1)",Katy Rose Pool,4.24,554,2023
270,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.85,428987,2020
271,"The Nice House on the Lake, Vol. 2",James Tynion IV,4.13,1797,2023
272,"Matchmaker (Empire High, #4)",Ivy Smoak,4.33,6224,2021
273,Blushing in the Big Leagues,R.S. Grey,4.0,2818,2023
274,Tao Te Ching,Lao Tzu,4.3,149738,-400
275,Tress of the Emerald Sea,Brandon Sanderson,4.52,53588,2023
276,Flowers for Algernon,Daniel Keyes,4.19,628917,1966
277,鬼滅の刃 16 [Kimetsu no Yaiba 16],Koyoharu Gotouge,4.65,10184,2019
278,"The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",Jonas Salzgeber,4.17,4084,2019
279,The Pursuit of God: The Human Thirst for the Divine,A.W. Tozer,4.37,74338,1948
280,The Book Proposal,K.J. Micciche,3.36,1819,2023
281,Remember Me?,Sophie Kinsella,3.8,246458,2008
282,The Outsider,Stephen King,4.0,275180,2018
283,"No Plan B (Jack Reacher, #27)",Lee Child,3.99,42006,2022
284,Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,4.18,58316,2015
285,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,727575,2008
286,鬼滅の刃 21 [Kimetsu no Yaiba 21],Koyoharu Gotouge,4.68,8914,2020
287,Cooper (New York Players #2),Lulu Moore,4.29,1532,2021
288,Field of Screams,Wendy Parris,4.26,74,2023
289,A Little Ray of Sunshine,Kristan Higgins,4.21,3901,2023
290,The Barefoot Contessa Cookbook,Ina Garten,4.08,36689,1999
291,Chasing Harry Winston,Lauren Weisberger,3.36,82566,2008
292,The Man I Never Met,Elle Cook,4.0,5447,2022
293,"The Eagle and The Lion: Rome, Persia, and an Unwinnable Conflict",Adrian Goldsworthy,4.25,12,2023
294,Burn the Place: A Memoir,Iliana Regan,3.64,2801,2019
295,Secrets in the Dark (Blackbird Trilogy #2),Heather Graham,4.39,206,2023
296,Disturbance,Jenna Clake,3.38,125,2023
297,The Spectacular,Fiona  Davis,4.19,8042,2023
298,The Ten Thousand Doors of January,Alix E. Harrow,4.04,122758,2019
299,The Remains of the Day,Kazuo Ishiguro,4.14,282068,1989
300,"Star Wars: Han Solo &amp; Chewbacca, Vol. 2: The Crystal Run, Part Two",Marc Guggenheim,3.5,111,2023
301,World Travel: An Irreverent Guide,Anthony Bourdain,3.65,9315,2021
302,Musical Tables: Poems,Billy Collins,3.83,1255,2022
303,"Set on You (The Influencer, #1)",Amy  Lea,3.64,31978,2022
304,Ketanji: Justice Jackson&#39;s Journey to the U.S. Supreme Court,Kekla Magoon,4.22,18,2023
305,All the Bright Places,Jennifer Niven,4.13,528333,2015
306,"Lake Season (Bluebell Inn Romance, #1)",Denise Hunter,4.34,3324,2019
307,おじさまと猫 8 [Ojisama to Neko 8],Umi Sakurai,4.46,316,2021
