Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,778,244 members",https://myanimelist.net/anime/1/Cowboy_Bebop,https://cdn.myanimelist.net/r/100x140/images/anime/4/19644.jpg?s=7873ad89996b0d6be8dd51e60d88d82c,8.75
Kingdom 4th Season,TV (26 eps),Apr 2022 - Oct 2022,"54,102 members",https://myanimelist.net/anime/50160/Kingdom_4th_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1566/122794.jpg?s=ff859548e52a05da1eff40de2b5b05bf,8.74
Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,371,627 members",https://myanimelist.net/anime/37521/Vinland_Saga,https://cdn.myanimelist.net/r/100x140/images/anime/1500/103005.jpg?s=175909bd438e4f7969afdae5a2f58931,8.74
Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,"255,482 members",https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/9/68095.jpg?s=847f720879a312ca3ac84fd8327b174e,8.73
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,"181,128 members",https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1493/124765.jpg?s=aaa4a2fa43b61e27db0a64265577753c,8.73
Mob Psycho 100 III,TV (12 eps),Oct 2022 - Dec 2022,"578,960 members",https://myanimelist.net/anime/50172/Mob_Psycho_100_III,https://cdn.myanimelist.net/r/100x140/images/anime/1228/125011.jpg?s=e817eceaeea480cbf057b210d6052de0,8.72
Shiguang Dailiren,ONA (11 eps),Apr 2021 - Jul 2021,"301,546 members",https://myanimelist.net/anime/44074/Shiguang_Dailiren,https://cdn.myanimelist.net/r/100x140/images/anime/1135/114867.jpg?s=9c2fd9fddaef71035742747d5145fc04,8.72
86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,"437,166 members",https://myanimelist.net/anime/48569/86_Part_2,https://cdn.myanimelist.net/r/100x140/images/anime/1321/117508.jpg?s=05384e864c30f7e24293311d31e86b16,8.71
Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,"48,020 members",https://myanimelist.net/anime/2921/Ashita_no_Joe_2,https://cdn.myanimelist.net/r/100x140/images/anime/3/45028.jpg?s=b3022f518e674c9c4c9be212b232ce66,8.71
Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,158,979 members",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,https://cdn.myanimelist.net/r/100x140/images/anime/1032/135088.jpg?s=8b895bc4ead0cfc55ccfc813ba627926,8.70
